cache_mode,schedule_mode,checkpoint_progress,checkpoint_index,block,inner_step,checkpoint_type,variant,removed_components,exact_intermediate,exact_final,checkpoint_bytes,full_checkpoint_bytes,export_to_cpu_ms,notes
dual,threshold,0.09401709401709402,11,0,11,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,80218937,5.640991999825928,
dual,threshold,0.23076923076923078,27,1,0,block_boundary,full,,True,True,2464,2464,0.08590200013713911,
dual,threshold,0.23076923076923078,27,1,0,block_boundary,no_attention_mask,attention_mask,True,True,1240,2464,0.04849099786952138,
dual,threshold,0.23076923076923078,27,1,0,block_boundary,no_current_schedule,current_schedule,True,True,2464,2464,0.07339800504269078,
dual,threshold,0.23076923076923078,27,1,0,block_boundary,no_block_index,block_index,True,True,2456,2464,0.07429999823216349,
dual,threshold,0.23076923076923078,27,1,0,block_boundary,no_inner_step,inner_step,True,True,2456,2464,0.07416999869747087,
dual,threshold,0.23076923076923078,27,1,0,block_boundary,no_cache_state,past_key_values,True,True,2464,2464,0.07220599945867434,
dual,threshold,0.23076923076923078,27,1,0,block_boundary,no_replace_position,replace_position,True,True,2464,2464,0.08148400229401886,
dual,threshold,0.23076923076923078,27,1,0,block_boundary,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,2464,0.06296900392044336,
dual,threshold,0.23931623931623933,28,1,1,inner_step,full,,True,True,80218937,80218937,17.809260003559757,
dual,threshold,0.23931623931623933,28,1,1,inner_step,no_attention_mask,attention_mask,True,True,80217713,80218937,18.966053998155985,
dual,threshold,0.23931623931623933,28,1,1,inner_step,no_current_schedule,current_schedule,True,True,80218681,80218937,15.395481997984461,
dual,threshold,0.23931623931623933,28,1,1,inner_step,no_block_index,block_index,True,True,80218929,80218937,17.87871099804761,
dual,threshold,0.23931623931623933,28,1,1,inner_step,no_inner_step,inner_step,False,False,80218929,80218937,15.704625999205746,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
dual,threshold,0.23931623931623933,28,1,1,inner_step,no_cache_state,past_key_values,True,True,2873,80218937,5.487962996994611,
dual,threshold,0.23931623931623933,28,1,1,inner_step,no_replace_position,replace_position,True,True,80218784,80218937,17.14623800216941,
dual,threshold,0.23931623931623933,28,1,1,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,80218937,5.217101999733131,
dual,threshold,0.24786324786324787,29,1,2,inner_step,full,,True,True,80218937,80218937,17.90100299695041,
dual,threshold,0.24786324786324787,29,1,2,inner_step,no_attention_mask,attention_mask,True,True,80217713,80218937,18.953240003611427,
dual,threshold,0.24786324786324787,29,1,2,inner_step,no_current_schedule,current_schedule,True,True,80218681,80218937,15.429135004524142,
dual,threshold,0.24786324786324787,29,1,2,inner_step,no_block_index,block_index,True,True,80218929,80218937,17.986653998377733,
dual,threshold,0.24786324786324787,29,1,2,inner_step,no_inner_step,inner_step,False,False,80218929,80218937,15.918980003334582,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
dual,threshold,0.24786324786324787,29,1,2,inner_step,no_cache_state,past_key_values,True,True,2873,80218937,5.40196100337198,
dual,threshold,0.24786324786324787,29,1,2,inner_step,no_replace_position,replace_position,True,True,80218784,80218937,16.709001996787265,
dual,threshold,0.24786324786324787,29,1,2,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,80218937,5.353408996597864,
dual,threshold,0.2564102564102564,30,1,3,inner_step,full,,True,True,80218937,80218937,17.734208006004337,
dual,threshold,0.2564102564102564,30,1,3,inner_step,no_attention_mask,attention_mask,True,True,80217713,80218937,19.01618799456628,
dual,threshold,0.2564102564102564,30,1,3,inner_step,no_current_schedule,current_schedule,True,True,80218681,80218937,15.38384000014048,
dual,threshold,0.2564102564102564,30,1,3,inner_step,no_block_index,block_index,True,True,80218929,80218937,17.83910600352101,
dual,threshold,0.2564102564102564,30,1,3,inner_step,no_inner_step,inner_step,False,False,80218929,80218937,15.512553000007756,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
dual,threshold,0.2564102564102564,30,1,3,inner_step,no_cache_state,past_key_values,True,True,2873,80218937,5.452054996567313,
dual,threshold,0.2564102564102564,30,1,3,inner_step,no_replace_position,replace_position,True,True,80218784,80218937,17.004859997541644,
dual,threshold,0.2564102564102564,30,1,3,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,80218937,5.239513993728906,
dual,threshold,0.49572649572649574,58,1,31,inner_step,full,,True,True,80218937,80218937,16.843395998876076,
dual,threshold,0.49572649572649574,58,1,31,inner_step,no_attention_mask,attention_mask,True,True,80217713,80218937,18.162868000217713,
dual,threshold,0.49572649572649574,58,1,31,inner_step,no_current_schedule,current_schedule,True,True,80218681,80218937,14.217326999641955,
dual,threshold,0.49572649572649574,58,1,31,inner_step,no_block_index,block_index,True,True,80218929,80218937,17.900983002618887,
dual,threshold,0.49572649572649574,58,1,31,inner_step,no_inner_step,inner_step,False,False,80218929,80218937,15.58002999809105,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
dual,threshold,0.49572649572649574,58,1,31,inner_step,no_cache_state,past_key_values,True,True,2873,80218937,5.5039840008248575,
dual,threshold,0.49572649572649574,58,1,31,inner_step,no_replace_position,replace_position,True,True,80218784,80218937,16.70243000262417,
dual,threshold,0.49572649572649574,58,1,31,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,80218937,5.575158000283409,
dual,threshold,0.7435897435897436,87,2,28,inner_step,full,,True,True,80218937,80218937,17.72089300357038,
