attention_mask_length,attention_mask_tokens,block_index,block_ranges,block_size,cache_mode,experiment_batch_size,has_past_key_values,mask_counts,memory_after_bytes,memory_before_bytes,memory_peak_bytes,memory_peak_delta_bytes,memory_peak_delta_mb,memory_peak_mb,model_batch_size,model_call_index,model_call_latency_ms,model_query_length,num_blocks,past_length,phase,prompt_lens,record_index,sequence_length,step_index,steps_per_block,use_cache
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[21, 21]",16738359808,16512309760,16742701568,230391808,219.71875,15967.08447265625,2,9,63.73838899889961,128,4,25,refine,"[25, 25]",9,153,9,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[20, 20]",16737245696,16512064000,16741440000,229376000,218.75,15965.88134765625,2,10,63.82495298748836,128,4,25,refine,"[25, 25]",10,153,10,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[19, 19]",16736639488,16511195648,16740981248,229785600,219.140625,15965.44384765625,2,11,63.70437500299886,128,4,25,refine,"[25, 25]",11,153,11,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[18, 18]",16736688640,16511457792,16741128704,229670912,219.03125,15965.58447265625,2,12,63.99109700578265,128,4,25,refine,"[25, 25]",12,153,12,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[17, 17]",16739654144,16511244800,16743995904,232751104,221.96875,15968.31884765625,2,13,64.18938099523075,128,4,25,refine,"[25, 25]",13,153,13,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[16, 16]",16740342272,16514423296,16744684032,230260736,219.59375,15968.97509765625,2,14,64.42774200695567,128,4,25,refine,"[25, 25]",14,153,14,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[15, 15]",16738802176,16511932928,16742996480,231063552,220.359375,15967.36572265625,2,15,63.89111702446826,128,4,25,refine,"[25, 25]",15,153,15,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[14, 14]",16738064896,16512883200,16742259200,229376000,218.75,15966.66259765625,2,16,63.88288299785927,128,4,25,refine,"[25, 25]",16,153,16,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[13, 13]",16739228160,16511195648,16743569920,232374272,221.609375,15967.91259765625,2,17,63.91769798938185,128,4,25,refine,"[25, 25]",17,153,17,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[12, 12]",16739932672,16514046464,16744372736,230326272,219.65625,15968.67822265625,2,18,63.81719800992869,128,4,25,refine,"[25, 25]",18,153,18,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[11, 11]",16738163200,16511900160,16742603264,230703104,220.015625,15966.99072265625,2,19,64.01819799793884,128,4,25,refine,"[25, 25]",19,153,19,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[10, 10]",16738818560,16512276992,16743307776,231030784,220.328125,15967.66259765625,2,20,63.873956009047106,128,4,25,refine,"[25, 25]",20,153,20,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[9, 9]",16739686912,16512555520,16744126976,231571456,220.84375,15968.44384765625,2,21,64.17713800328784,128,4,25,refine,"[25, 25]",21,153,21,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[8, 8]",16740014592,16513145344,16744454656,231309312,220.59375,15968.75634765625,2,22,63.85805501486175,128,4,25,refine,"[25, 25]",22,153,22,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[7, 7]",16740145664,16512883200,16744487424,231604224,220.875,15968.78759765625,2,23,63.83017299231142,128,4,25,refine,"[25, 25]",23,153,23,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[6, 6]",16739113472,16513276416,16743455232,230178816,219.515625,15967.80322265625,2,24,63.85395798133686,128,4,25,refine,"[25, 25]",24,153,24,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[5, 5]",16741472768,16511851008,16745667072,233816064,222.984375,15969.91259765625,2,25,63.80714999977499,128,4,25,refine,"[25, 25]",25,153,25,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[4, 4]",16741636608,16515635712,16746027520,230391808,219.71875,15970.25634765625,2,26,63.761673984117806,128,4,25,refine,"[25, 25]",26,153,26,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[3, 3]",16741128704,16512014848,16745519616,233504768,222.6875,15969.77197265625,2,27,63.77036002231762,128,4,25,refine,"[25, 25]",27,153,27,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[2, 2]",16741472768,16515127808,16745667072,230539264,219.859375,15969.91259765625,2,28,64.10079402849078,128,4,25,refine,"[25, 25]",28,153,28,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[1, 1]",16740178432,16512358912,16744520192,232161280,221.40625,15968.81884765625,2,29,63.86539901723154,128,4,25,refine,"[25, 25]",29,153,29,32,True
153,306,1,"[[57, 89], [57, 89]]",32,prefix,2,False,"[32, 32]",16752679936,16513836032,16757693440,243857408,232.560546875,15981.3818359375,2,30,72.87586797610857,153,4,,warmup,"[25, 25]",30,153,0,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[22, 22]",16724972032,16510980608,16729313792,218333184,208.21875,15954.31689453125,2,31,51.151564985048026,96,4,57,refine,"[25, 25]",31,153,1,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[18, 18]",16710290944,16497151488,16714124800,216973312,206.921875,15939.83154296875,2,32,51.19433600339107,96,4,57,refine,"[25, 25]",32,153,2,32,True
