attention_mask_length,attention_mask_tokens,block_index,block_ranges,block_size,cache_mode,experiment_batch_size,has_past_key_values,mask_counts,memory_after_bytes,memory_before_bytes,memory_peak_bytes,memory_peak_delta_bytes,memory_peak_delta_mb,memory_peak_mb,model_batch_size,model_call_index,model_call_latency_ms,model_query_length,num_blocks,past_length,phase,prompt_lens,record_index,replace_position_count,sequence_length,step_index,steps_per_block,use_cache
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[8, 8]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,22,47.87114801001735,32,4,153,refine,"[25, 25]",22,64,153,22,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[7, 7]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,23,47.91665502125397,32,4,153,refine,"[25, 25]",23,64,153,23,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[6, 6]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,24,47.612308990210295,32,4,153,refine,"[25, 25]",24,64,153,24,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[5, 5]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,25,47.93148202588782,32,4,153,refine,"[25, 25]",25,64,153,25,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[4, 4]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,26,47.68393500125967,32,4,153,refine,"[25, 25]",26,64,153,26,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[3, 3]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,27,47.69748999387957,32,4,153,refine,"[25, 25]",27,64,153,27,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[2, 2]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,28,47.82633399008773,32,4,153,refine,"[25, 25]",28,64,153,28,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[1, 1]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,29,47.858214005827904,32,4,153,refine,"[25, 25]",29,64,153,29,32,True
153,306,1,"[[57, 89], [57, 89]]",32,dual,2,False,"[32, 32]",16540269056,16302242304,16545282560,243040256,231.78125,15778.81103515625,2,30,71.2965400016401,153,4,,warmup,"[25, 25]",30,,153,0,32,True
153,306,1,"[[0, 32], [0, 32]]",32,dual,2,True,"[16, 16]",16478861824,16462674432,16486433280,23758848,22.658203125,15722.68798828125,2,31,47.984361997805536,32,4,153,refine,"[25, 25]",31,64,153,1,32,True
153,306,1,"[[0, 32], [0, 32]]",32,dual,2,True,"[13, 13]",16314857984,16298572288,16322331136,23758848,22.658203125,15566.18798828125,2,32,47.65691398642957,32,4,153,refine,"[25, 25]",32,64,153,2,32,True
153,306,1,"[[0, 32], [0, 32]]",32,dual,2,True,"[11, 11]",16314857984,16298670592,16322429440,23758848,22.658203125,15566.28173828125,2,33,47.637055977247655,32,4,153,refine,"[25, 25]",33,64,153,3,32,True
153,306,1,"[[0, 32], [0, 32]]",32,dual,2,True,"[10, 10]",16314857984,16298572288,16322331136,23758848,22.658203125,15566.18798828125,2,34,47.50391500419937,32,4,153,refine,"[25, 25]",34,64,153,4,32,True
153,306,1,"[[0, 32], [0, 32]]",32,dual,2,True,"[9, 9]",16314857984,16298670592,16322429440,23758848,22.658203125,15566.28173828125,2,35,47.609373985324055,32,4,153,refine,"[25, 25]",35,64,153,5,32,True
153,306,1,"[[0, 32], [0, 32]]",32,dual,2,True,"[8, 8]",16314857984,16298572288,16322331136,23758848,22.658203125,15566.18798828125,2,36,47.643598983995616,32,4,153,refine,"[25, 25]",36,64,153,6,32,True
153,306,1,"[[0, 32], [0, 32]]",32,dual,2,True,"[7, 7]",16314857984,16298670592,16322429440,23758848,22.658203125,15566.28173828125,2,37,47.64339802204631,32,4,153,refine,"[25, 25]",37,64,153,7,32,True
153,306,1,"[[0, 32], [0, 32]]",32,dual,2,True,"[6, 6]",16314857984,16298572288,16322331136,23758848,22.658203125,15566.18798828125,2,38,47.61824099114165,32,4,153,refine,"[25, 25]",38,64,153,8,32,True
153,306,1,"[[0, 32], [0, 32]]",32,dual,2,True,"[5, 5]",16314857984,16298670592,16322429440,23758848,22.658203125,15566.28173828125,2,39,47.61109800892882,32,4,153,refine,"[25, 25]",39,64,153,9,32,True
153,306,1,"[[0, 32], [0, 32]]",32,dual,2,True,"[4, 4]",16314857984,16298572288,16322331136,23758848,22.658203125,15566.18798828125,2,40,48.26599400257692,32,4,153,refine,"[25, 25]",40,64,153,10,32,True
153,306,1,"[[0, 32], [0, 32]]",32,dual,2,True,"[2, 2]",16314857984,16298670592,16322429440,23758848,22.658203125,15566.28173828125,2,41,47.78400401119143,32,4,153,refine,"[25, 25]",41,64,153,11,32,True
153,306,1,"[[0, 32], [0, 32]]",32,dual,2,True,"[1, 1]",16314857984,16298572288,16322331136,23758848,22.658203125,15566.18798828125,2,42,47.68059798516333,32,4,153,refine,"[25, 25]",42,64,153,12,32,True
153,306,2,"[[89, 121], [89, 121]]",32,dual,2,False,"[32, 32]",16540367360,16298670592,16545380864,246710272,235.28125,15778.90478515625,2,43,71.87012300710194,153,4,,warmup,"[25, 25]",43,,153,0,32,True
