batch_size,end_ms,latency_ms,memory_mb,oom,operation_index,phase,policy,request_ids,start_ms
4,19776.697759875013,53.804001658047525,46.439453125,False,335,refine,current_memory_admission,"28,29,30,31",19722.893758216964
4,19830.50176153306,53.804001658047525,46.439453125,False,336,refine,current_memory_admission,"28,29,30,31",19776.697759875013
4,19884.30576319111,53.804001658047525,46.439453125,False,337,refine,current_memory_admission,"28,29,30,31",19830.50176153306
4,19994.728204941526,110.4224417504156,467.0625,False,338,warmup,current_memory_admission,"24,25,26,27",19884.30576319111
4,20048.532206599575,53.804001658047525,46.439453125,False,339,refine,current_memory_admission,"24,25,26,27",19994.728204941526
4,20102.336208257624,53.804001658047525,46.439453125,False,340,refine,current_memory_admission,"24,25,26,27",20048.532206599575
4,20156.140209915673,53.804001658047525,46.439453125,False,341,refine,current_memory_admission,"24,25,26,27",20102.336208257624
4,20209.944211573722,53.804001658047525,46.439453125,False,342,refine,current_memory_admission,"24,25,26,27",20156.140209915673
4,20263.74821323177,53.804001658047525,46.439453125,False,343,refine,current_memory_admission,"24,25,26,27",20209.944211573722
4,20317.55221488982,53.804001658047525,46.439453125,False,344,refine,current_memory_admission,"24,25,26,27",20263.74821323177
4,20371.35621654787,53.804001658047525,46.439453125,False,345,refine,current_memory_admission,"24,25,26,27",20317.55221488982
4,20425.160218205918,53.804001658047525,46.439453125,False,346,refine,current_memory_admission,"24,25,26,27",20371.35621654787
4,20478.964219863967,53.804001658047525,46.439453125,False,347,refine,current_memory_admission,"24,25,26,27",20425.160218205918
4,20532.768221522016,53.804001658047525,46.439453125,False,348,refine,current_memory_admission,"24,25,26,27",20478.964219863967
4,20643.19066327243,110.4224417504156,467.0625,False,349,warmup,current_memory_admission,"28,29,30,31",20532.768221522016
4,20696.99466493048,53.804001658047525,46.439453125,False,350,refine,current_memory_admission,"28,29,30,31",20643.19066327243
4,20750.79866658853,53.804001658047525,46.439453125,False,351,refine,current_memory_admission,"28,29,30,31",20696.99466493048
4,20804.602668246578,53.804001658047525,46.439453125,False,352,refine,current_memory_admission,"28,29,30,31",20750.79866658853
4,20858.406669904627,53.804001658047525,46.439453125,False,353,refine,current_memory_admission,"28,29,30,31",20804.602668246578
4,20912.210671562676,53.804001658047525,46.439453125,False,354,refine,current_memory_admission,"28,29,30,31",20858.406669904627
4,20966.014673220725,53.804001658047525,46.439453125,False,355,refine,current_memory_admission,"28,29,30,31",20912.210671562676
4,21019.818674878774,53.804001658047525,46.439453125,False,356,refine,current_memory_admission,"28,29,30,31",20966.014673220725
4,21073.622676536823,53.804001658047525,46.439453125,False,357,refine,current_memory_admission,"28,29,30,31",21019.818674878774
4,21127.42667819487,53.804001658047525,46.439453125,False,358,refine,current_memory_admission,"28,29,30,31",21073.622676536823
4,21181.23067985292,53.804001658047525,46.439453125,False,359,refine,current_memory_admission,"28,29,30,31",21127.42667819487
4,21291.653121603336,110.4224417504156,467.0625,False,360,warmup,current_memory_admission,"32,33,34,35",21181.23067985292
4,21345.457123261385,53.804001658047525,46.439453125,False,361,refine,current_memory_admission,"32,33,34,35",21291.653121603336
4,21399.261124919434,53.804001658047525,46.439453125,False,362,refine,current_memory_admission,"32,33,34,35",21345.457123261385
4,21453.065126577483,53.804001658047525,46.439453125,False,363,refine,current_memory_admission,"32,33,34,35",21399.261124919434
4,21506.869128235532,53.804001658047525,46.439453125,False,364,refine,current_memory_admission,"32,33,34,35",21453.065126577483
4,21560.67312989358,53.804001658047525,46.439453125,False,365,refine,current_memory_admission,"32,33,34,35",21506.869128235532
4,21614.47713155163,53.804001658047525,46.439453125,False,366,refine,current_memory_admission,"32,33,34,35",21560.67312989358
4,21668.28113320968,53.804001658047525,46.439453125,False,367,refine,current_memory_admission,"32,33,34,35",21614.47713155163
4,21722.085134867728,53.804001658047525,46.439453125,False,368,refine,current_memory_admission,"32,33,34,35",21668.28113320968
4,21775.889136525777,53.804001658047525,46.439453125,False,369,refine,current_memory_admission,"32,33,34,35",21722.085134867728
4,21829.693138183826,53.804001658047525,46.439453125,False,370,refine,current_memory_admission,"32,33,34,35",21775.889136525777
4,21883.497139841875,53.804001658047525,46.439453125,False,371,refine,current_memory_admission,"32,33,34,35",21829.693138183826
4,21993.91958159229,110.4224417504156,467.0625,False,372,warmup,current_memory_admission,"36,37,38,39",21883.497139841875
4,22047.72358325034,53.804001658047525,46.439453125,False,373,refine,current_memory_admission,"36,37,38,39",21993.91958159229
4,22101.52758490839,53.804001658047525,46.439453125,False,374,refine,current_memory_admission,"36,37,38,39",22047.72358325034
4,22155.331586566437,53.804001658047525,46.439453125,False,375,refine,current_memory_admission,"36,37,38,39",22101.52758490839
4,22209.135588224486,53.804001658047525,46.439453125,False,376,refine,current_memory_admission,"36,37,38,39",22155.331586566437
4,22262.939589882535,53.804001658047525,46.439453125,False,377,refine,current_memory_admission,"36,37,38,39",22209.135588224486
4,22316.743591540584,53.804001658047525,46.439453125,False,378,refine,current_memory_admission,"36,37,38,39",22262.939589882535
4,22370.547593198633,53.804001658047525,46.439453125,False,379,refine,current_memory_admission,"36,37,38,39",22316.743591540584
4,22424.351594856682,53.804001658047525,46.439453125,False,380,refine,current_memory_admission,"36,37,38,39",22370.547593198633
4,22478.15559651473,53.804001658047525,46.439453125,False,381,refine,current_memory_admission,"36,37,38,39",22424.351594856682
4,22531.95959817278,53.804001658047525,46.439453125,False,382,refine,current_memory_admission,"36,37,38,39",22478.15559651473
