ar_optimistic_parallel_ms,ar_optimistic_serial_ms,ar_probe_ms,ar_verified_parallel_ms,ar_verified_serial_ms,dllm_incremental_parallel_ms,dllm_incremental_serial_ms,dllm_saved_vs_ar_verified_parallel_ms,dllm_saved_vs_ar_verified_serial_ms,dllm_vs_ar_optimistic_parallel_speedup,dllm_vs_ar_optimistic_serial_speedup,dllm_vs_ar_verified_parallel_speedup,dllm_vs_ar_verified_serial_speedup,dllm_vs_no_spec_parallel_speedup,dllm_vs_no_spec_serial_speedup,generation_ms,no_spec_parallel_ms,no_spec_serial_ms,num_calls,request_index,tool_latency_ms
889.1977150458843,1194.5988575229421,500.0,1389.1977150458843,1694.5988575229421,790.9980958715703,1194.5988575229421,598.199619174314,500.0,1.1241464672125558,1.0,1.7562592404412565,1.4185505425953395,1.1241464672125558,1.246609023328389,589.1977150458843,889.1977150458843,1489.1977150458843,3,12,300.0
1089.1977150458843,1794.5988575229421,500.0,1589.1977150458843,2294.598857522942,990.9980958715703,1794.5988575229421,598.199619174314,500.0,1.0990916325504627,1.0,1.6036334697981482,1.2786137960046082,1.0990916325504627,1.1641586119861753,589.1977150458843,1089.1977150458843,2089.1977150458843,3,12,500.0
1589.1977150458843,3294.598857522942,500.0,2089.1977150458843,3794.598857522942,1490.9980958715703,3294.598857522942,598.199619174314,500.0,1.065861666387247,1.0,1.4012075004191293,1.15176354440186,1.065861666387247,1.0894187335888406,589.1977150458843,1589.1977150458843,3589.1977150458843,3,12,1000.0
2589.1977150458843,6294.598857522942,500.0,3089.1977150458843,6794.598857522942,2490.99809587157,6294.598857522942,598.1996191743142,500.0,1.0394217961615724,1.0,1.240144550959607,1.079433179352236,1.0394217961615724,1.0468018477731673,589.1977150458843,2589.1977150458843,6589.197715045884,3,12,2000.0
735.2326740161516,735.2326740161516,500.0,1235.2326740161516,1235.2326740161516,635.2326740161516,635.2326740161516,600.0,600.0,1.1574226328248622,1.1574226328248622,1.944535796949173,1.944535796949173,1.1574226328248622,1.4722678984745865,635.2326740161516,735.2326740161516,935.2326740161516,3,13,100.0
935.2326740161516,1081.4950497189004,500.0,1435.2326740161516,1581.4950497189004,753.7376242972512,1081.4950497189004,681.4950497189004,500.0,1.2407934059124588,1.0,1.9041542146105466,1.462322966831849,1.2407934059124588,1.41954664925668,635.2326740161516,935.2326740161516,1535.2326740161516,3,13,300.0
1135.2326740161516,1681.4950497189004,500.0,1635.2326740161516,2181.4950497189,953.7376242972512,1681.4950497189004,681.4950497189004,499.9999999999998,1.1902987206283622,1.0,1.7145519190574567,1.2973544287766925,1.1902987206283622,1.2698417841748053,635.2326740161516,1135.2326740161516,2135.2326740161516,3,13,500.0
1635.2326740161516,3181.4950497189,500.0,2135.2326740161516,3681.4950497189,1453.7376242972512,3181.4950497189,681.4950497189004,500.0,1.1248471847226467,1.0,1.4687882038193383,1.1571588175327123,1.1248471847226467,1.1426177370093162,635.2326740161516,1635.2326740161516,3635.2326740161516,3,13,1000.0
2635.2326740161516,6181.4950497189,500.0,3135.2326740161516,6681.4950497189,2453.7376242972514,6181.4950497189,681.4950497189002,500.0,1.0739667713131635,1.0,1.2777375392424362,1.0808865809934989,1.0739667713131635,1.0734025701950347,635.2326740161516,2635.2326740161516,6635.232674016152,3,13,2000.0
687.7881229971536,689.8234358309613,500.0,1187.7881229971536,1189.8234358309614,589.8234358309613,591.858748664769,597.9646871661922,597.9646871661924,1.166091547427539,1.16552038368479,2.013802861739058,2.0103165468368904,1.166091547427539,1.5,587.7881229971536,687.7881229971536,887.7881229971536,3,14,100.0
887.7881229971536,1193.8940614985768,500.0,1387.7881229971536,1693.8940614985768,789.8234358309613,1095.9293743323844,597.9646871661922,597.9646871661923,1.1240336545130811,1.089389598874353,1.7570865335707373,1.5456233779028499,1.1240336545130811,1.357558395497411,587.7881229971536,887.7881229971536,1487.7881229971536,3,14,300.0
1087.7881229971536,1793.8940614985768,500.0,1587.7881229971536,2293.894061498577,989.8234358309613,1695.9293743323844,597.9646871661922,597.9646871661923,1.0989718808627222,1.0577646030836378,1.604112476549111,1.3525882010278794,1.0989718808627222,1.231058412334551,587.7881229971536,1087.7881229971536,2087.7881229971536,3,14,500.0
1587.7881229971536,3293.894061498577,500.0,2087.7881229971536,3793.894061498577,1489.8234358309614,3195.929374332384,597.9646871661921,597.9646871661926,1.0657559042300548,1.0306529574630092,1.4013661436549172,1.1871019716420064,1.0657559042300548,1.122611829852037,587.7881229971536,1587.7881229971536,3587.7881229971536,3,14,1000.0
2587.7881229971536,6293.894061498577,500.0,3087.7881229971536,6793.894061498577,2489.8234358309614,6195.929374332385,597.9646871661921,597.9646871661917,1.039346037858101,1.0158111368363922,1.2401634905354746,1.0965092806969936,1.039346037858101,1.0632445473455694,587.7881229971536,2587.7881229971536,6587.788122997154,3,14,2000.0
809.2929479549639,809.2929479549639,500.0,1309.292947954964,1309.292947954964,720.6313294605934,731.9697109662229,588.6616184943705,577.323236988741,1.1230332555215652,1.1056372085214727,1.8168693122667803,1.7887255829570547,1.1230332555215652,1.3788725582957055,709.2929479549639,809.2929479549639,1009.2929479549639,3,15,100.0
1009.2929479549639,1165.9848554831115,500.0,1509.292947954964,1665.9848554831115,920.6313294605934,1165.9848554831115,588.6616184943705,500.0,1.0963052371314783,1.0,1.6394108039308992,1.4288220362800776,1.0963052371314783,1.3802005578264336,709.2929479549639,1009.2929479549639,1609.292947954964,3,15,300.0
1209.292947954964,1765.9848554831115,500.0,1709.292947954964,2265.9848554831115,1120.6313294605934,1765.9848554831115,588.6616184943705,500.0,1.0791175618274451,1.0,1.5252946290353295,1.2831281358090796,1.0791175618274451,1.2510259876212693,709.2929479549639,1209.292947954964,2209.292947954964,3,15,500.0
1709.292947954964,3265.9848554831115,500.0,2209.292947954964,3765.9848554831115,1620.6313294605934,3265.9848554831115,588.6616184943705,500.0,1.0547080738738281,1.0,1.3632298153154296,1.1530931777471574,1.0547080738738281,1.1357348891950931,709.2929479549639,1709.292947954964,3709.292947954964,3,15,1000.0
2709.292947954964,6265.9848554831115,500.0,3209.292947954964,6765.9848554831115,2620.6313294605934,6265.9848554831115,588.6616184943705,500.0,1.0338321600210052,1.0,1.224625879984246,1.0797959158108195,1.0338321600210052,1.0707483504502777,709.2929479549639,2709.292947954964,6709.292947954964,3,15,2000.0
749.2814550292678,749.2814550292678,500.0,1249.2814550292678,1249.2814550292678,656.5269614536581,663.7724678780485,592.7544935756097,585.5089871512193,1.1412805551355212,1.1288227386480414,1.9028639010698878,1.8820929090701484,1.1412805551355212,1.4301308068168843,649.2814550292678,749.2814550292678,949.2814550292678,3,16,100.0
949.2814550292678,1085.5089871512193,500.0,1449.2814550292678,1585.5089871512193,856.5269614536581,1178.2634807268291,592.7544935756097,407.2455064243902,1.108291388070483,0.9212786485426903,1.69204417403232,1.3456319516693964,1.108291388070483,1.3148854058292385,649.2814550292678,949.2814550292678,1549.2814550292678,3,16,300.0
