ar_parallel_ms,ar_serial_ms,bias_strength,dllm_parallel_ms,dllm_serial_ms,dllm_vs_ar_parallel_speedup,dllm_vs_ar_serial_speedup,dllm_vs_no_spec_parallel_speedup,dllm_vs_no_spec_serial_speedup,generation_ms,no_spec_parallel_ms,no_spec_serial_ms,num_calls,prompt_format,request_index,tool_latency_ms
1205.8232450042851,1205.8232450042851,0.4,996.7871115417578,1248.393555770879,1.2097099080055373,0.9658999274949743,1.2097099080055373,1.4465175958788055,905.8232450042851,1205.8232450042851,1805.8232450042851,3,json_array,5,300.0
1405.8232450042851,1778.7148446167032,0.4,1196.787111541758,1848.393555770879,1.1746644256498024,0.9623030977701521,1.1746644256498024,1.3015752178387834,905.8232450042851,1405.8232450042851,2405.823245004285,3,json_array,5,500.0
1905.8232450042851,3278.714844616703,0.4,1696.787111541758,3348.393555770879,1.1231952624113168,0.9791904057890428,1.1231952624113168,1.1664767536876568,905.8232450042851,1905.8232450042851,3905.823245004285,3,json_array,5,1000.0
2905.823245004285,6278.714844616703,0.4,2696.787111541758,6348.393555770879,1.0775130274717981,0.989024197926287,1.0775130274717981,1.0878064165897035,905.8232450042851,2905.823245004285,6905.823245004285,3,json_array,5,2000.0
746.6601979103871,746.6601979103871,0.0,746.6601979103871,746.6601979103871,1.0,1.0,1.0962300298077192,1.3640894932687724,718.5113310115412,818.5113310115412,1018.5113310115412,3,json_array,6,100.0
946.6601979103871,1115.5533993034624,0.0,946.6601979103871,1259.2556655057706,1.0,0.8858831688125928,1.075899602898437,1.2852920779685182,718.5113310115412,1018.5113310115412,1618.5113310115412,3,json_array,6,300.0
1146.660197910387,1715.5533993034624,0.0,1146.660197910387,1859.2556655057706,1.0,0.9227097871108452,1.0626612253848977,1.193225532222887,718.5113310115412,1218.5113310115412,2218.511331011541,3,json_array,6,500.0
1646.660197910387,3215.5533993034624,0.0,1646.660197910387,3359.2556655057706,1.0,0.9572219918603092,1.0436344627703598,1.106945020349227,718.5113310115412,1718.5113310115412,3718.511331011541,3,json_array,6,1000.0
2646.660197910387,6215.553399303462,0.0,2646.660197910387,6359.255665505771,1.0,0.9774026594052845,1.0271478496400417,1.056493351486789,718.5113310115412,2718.511331011541,6718.511331011541,3,json_array,6,2000.0
746.4877651364077,746.4877651364077,0.2,746.4877651364077,746.4877651364077,1.0,1.0,1.0962265923955488,1.3641479292756697,718.319739040453,818.319739040453,1018.319739040453,3,json_array,6,100.0
