policy,request_id,arrival_ms,first_start_ms,completion_ms,latency_ms,canvas
split_oldest,16,258663.42796072765,258663.42796072765,261954.67326672567,3291.245305998018,32
split_oldest,17,266777.51854578406,266777.51854578406,270068.7638517821,3291.245305998018,32
split_oldest,18,279450.4889641416,279450.4889641416,292586.77870015893,13136.289736017352,256
split_oldest,19,281132.2713347837,281188.3693464559,294939.1159854764,13806.844650692714,32
split_oldest,20,284652.09996031364,284753.08111573034,297545.9365589479,12893.836598634254,256
split_oldest,21,319296.4642252935,319296.4642252935,322587.7095312915,3291.245305998018,32
split_oldest,22,327951.97203770984,327951.97203770984,331243.21734370786,3291.245305998018,32
split_oldest,23,335765.09593363584,335765.09593363584,339056.34123963385,3291.245305998018,32
split_oldest,24,349547.3880691405,349547.3880691405,360959.24158586515,11411.85351672466,256
split_oldest,25,350136.03081515414,350199.09321250836,361240.89961523516,11104.868800081022,32
split_oldest,26,358911.00101145345,358988.8082211963,363730.79823803366,4819.797226580209,32
split_oldest,27,365899.6435893103,365899.6435893103,369190.8888953083,3291.245305998018,32
split_oldest,28,385053.8336801934,385053.8336801934,395985.5538991813,10931.720218987903,256
split_oldest,29,386766.8513981961,386791.71406250773,396672.4224847809,9905.571086584823,32
split_oldest,30,419152.25634998974,419152.25634998974,430646.8274619056,11494.571111915866,256
split_oldest,31,419987.2840914844,420021.1965411469,431022.3715010656,11035.087409581232,32
split_oldest,32,422043.0830959467,422142.8518880716,432854.38011760457,10811.297021657869,32
split_oldest,33,431082.6320782008,431136.84959866555,439950.7250120547,8868.092933853914,256
split_oldest,34,442328.47529520537,442328.47529520537,445675.91265733377,3347.437362128403,32
split_oldest,35,445009.935396144,445018.71058880375,453507.3774152787,8497.442019134702,32
split_oldest,36,446286.98071637086,446334.1617185334,456693.4914495216,10406.51073315076,256
split_oldest,37,468385.8834854212,468385.8834854212,472763.30403036566,4377.420544944471,32
split_oldest,38,471212.36907456507,471247.83592541947,480004.4722900087,8792.10321544361,256
split_oldest,39,480239.1854835989,480239.1854835989,483530.4307895969,3291.245305998018,32
split_oldest,40,489898.7629334494,489898.7629334494,493190.00823944743,3291.245305998018,32
split_oldest,41,495332.68008042214,495332.68008042214,498623.92538642016,3291.245305998018,32
split_oldest,42,504095.505707611,504095.505707611,507386.751013609,3291.245305998018,32
split_oldest,43,511493.339395802,511493.339395802,514784.5847018,3291.245305998018,32
split_oldest,44,538781.9301744516,538781.9301744516,542166.8289073335,3384.898732881993,32
split_oldest,45,541066.7479102754,541071.4921264502,544456.3908593322,3389.6429490568116,32
split_oldest,46,553661.3141489562,553661.3141489562,557003.3998866912,3342.085737735033,32
split_oldest,47,556388.4074389797,556408.7884913546,559750.8742290896,3362.466790109873,32
split_oldest,48,561426.6732949361,561426.6732949361,564717.9186009341,3291.245305998018,32
split_oldest,49,572564.6500360131,572564.6500360131,575855.8953420111,3291.245305998018,32
split_oldest,50,576131.3577583269,576131.3577583269,579422.6030643249,3291.245305998018,32
split_oldest,51,579931.9222963081,579931.9222963081,583223.1676023061,3291.245305998018,32
split_oldest,52,593869.725101161,593869.725101161,603533.033722359,9663.308621197939,32
split_oldest,53,594622.8148032584,594671.0717843606,606333.2879938586,11710.473190600169,256
split_oldest,54,600752.9769117254,600805.3558867418,608079.0789822575,7326.102070532157,32
split_oldest,55,665476.6721876753,665476.6721876753,668767.9174936733,3291.245305998018,32
split_oldest,56,720935.3555276047,720935.3555276047,724634.840715914,3699.485188309336,32
split_oldest,57,721696.1855827032,721708.0826864042,725479.8148040241,3783.629221320851,32
split_oldest,58,724093.4168463878,724117.8236043476,727729.0069901664,3635.590143778594,32
split_oldest,59,727174.9917471996,727196.986268023,730533.7203813647,3358.7286341651343,32
split_oldest,60,754244.4066057976,754244.4066057976,762571.750104387,8327.343498589471,256
split_oldest,61,775519.3169975642,775519.3169975642,778810.5623035622,3291.245305998018,32
split_oldest,62,796661.323398825,796661.323398825,799952.568704823,3291.245305998018,32
split_oldest,63,801274.1742828253,801274.1742828253,808475.6504490306,7201.476166205248,32
split_oldest,64,802990.9206405571,803019.9652712243,812892.7630874128,9901.842446855735,256
split_oldest,65,820933.2431593114,820933.2431593114,829260.5866579008,8327.343498589471,256
split_oldest,66,833091.6704013709,833091.6704013709,836382.9157073689,3291.245305998018,32
split_oldest,67,842550.8682346452,842550.8682346452,845842.1135406432,3291.245305998018,32
split_oldest,68,886159.8336968167,886159.8336968167,889451.0790028147,3291.245305998018,32
split_oldest,69,896772.3143002565,896772.3143002565,900363.2505722833,3590.936272026738,32
split_oldest,70,896850.8529821687,896858.1728734565,900449.1091454832,3598.256163314567,32
split_oldest,71,913839.2363067155,913839.2363067155,924725.4551375713,10886.218830855796,256
split_oldest,72,917397.1147134559,917459.820436537,928346.0392673928,10948.92455393693,256
split_oldest,73,928285.3794259137,928346.0392673928,931637.2845733908,3351.9051474771695,32
split_oldest,74,956242.7253864342,956242.7253864342,961662.9901213383,5420.264734904049,32
split_oldest,75,957684.7912538508,957702.3211308334,966952.0481001863,9267.256846335484,32
split_oldest,76,958911.3125006087,958954.1345947001,971039.59959715,12128.287096541259,256
split_oldest,77,960043.4023756649,960063.6164692275,971430.9669567142,11387.564581049257,32
split_oldest,78,968100.3736231301,968135.8030597433,973809.4125380609,5709.038914930774,32
split_oldest,79,971279.7002114616,971289.9622899233,974839.7154164603,3560.0152049986646,32
split_oldest,80,980564.0881035745,980564.0881035745,983855.3334095725,3291.245305998018,32
split_oldest,81,993208.8274024237,993208.8274024237,996593.7261353057,3384.898732881993,32
split_oldest,82,995485.3307226298,995498.3893544223,998883.2880873043,3397.957364674541,32
split_oldest,83,1005543.0539017819,1005543.0539017819,1015947.0580303503,10404.00412856834,256
split_oldest,84,1008608.0867788589,1008656.7562534284,1017292.757504007,8684.670725148055,32
split_oldest,85,1015312.7864545712,1015324.8159151917,1019181.6461144058,3868.8596598346485,32
split_oldest,86,1038887.0533197422,1038887.0533197422,1047214.3968183317,8327.343498589471,256
split_oldest,87,1057601.8169837438,1057601.8169837438,1061109.8030776733,3507.986093929503,32
split_oldest,88,1058570.2136172657,1058574.8808133432,1062082.8669072727,3512.6532900070306,32
split_oldest,89,1064079.3274513448,1064079.3274513448,1067373.2485695395,3293.921118194703,32
split_oldest,90,1067318.3660924465,1067341.9532329428,1070940.9169415596,3622.5508491131477,32
